iter	Passed	Remaining
927	10723	47056
928	10730	47024
929	10737	46992
930	10744	46960
931	10751	46928
932	10758	46897
933	10766	46871
934	10774	46844
935	10781	46813
936	10788	46782
937	10795	46750
938	10802	46720
939	10809	46688
940	10816	46658
941	10823	46626
942	10830	46595
943	10837	46564
944	10844	46532
945	10852	46506
946	10859	46478
947	10867	46451
948	10874	46420
949	10881	46389
950	10888	46358
951	10895	46328
952	10902	46297
953	10909	46268
954	10916	46238
955	10923	46207
956	10931	46179
957	10937	46149
958	10945	46120
959	10952	46090
960	10961	46069
961	10970	46047
962	10977	46018
963	10984	45988
964	10991	45958
965	10998	45929
966	11005	45899
967	11012	45870
968	11019	45840
969	11026	45811
970	11033	45781
971	11040	45751
972	11047	45721
973	11054	45693
974	11062	45667
975	11069	45638
976	11076	45609
977	11083	45579
978	11090	45549
979	11097	45521
980	11104	45493
981	11111	45464
982	11118	45434
983	11125	45405
984	11134	45384
985	11141	45356
986	11148	45329
987	11159	45317
988	11168	45295
989	11177	45276
990	11186	45255
991	11197	45242
992	11206	45222
993	11214	45195
994	11221	45167
995	11228	45139
996	11235	45110
997	11242	45082
998	11250	45057
999	11258	45033
1000	11265	45005
1001	11272	44978
1002	11279	44950
1003	11286	44922
1004	11294	44895
1005	11301	44868
1006	11308	44840
1007	11315	44813
1008	11322	44785
1009	11329	44758
1010	11336	44729
1011	11344	44703
1012	11352	44679
1013	11359	44655
1014	11366	44626
1015	11373	44598
1016	11382	44580
1017	11391	44560
1018	11400	44539
1019	11408	44514
1020	11417	44497
1021	11427	44479
1022	11436	44459
1023	11449	44454
1024	11457	44433
1025	11465	44410
1026	11474	44388
1027	11482	44366
1028	11491	44345
1029	11499	44322
1030	11507	44300
1031	11515	44276
1032	11523	44253
1033	11531	44228
1034	11539	44207
1035	11548	44188
1036	11558	44170
1037	11566	44149
1038	11575	44129
1039	11583	44106
1040	11592	44088
1041	11603	44075
1042	11612	44058
1043	11625	44051
1044	11634	44033
1045	11641	44006
1046	11650	43986
1047	11657	43959
1048	11664	43935
1049	11671	43908
1050	11679	43882
1051	11686	43856
1052	11693	43830
1053	11700	43803
1054	11707	43776
1055	11713	43749
1056	11720	43723
1057	11727	43696
1058	11734	43670
1059	11742	43647
1060	11750	43622
1061	11757	43596
1062	11764	43570
1063	11770	43543
1064	11777	43516
1065	11784	43490
1066	11791	43464
1067	11798	43437
1068	11805	43412
1069	11812	43387
1070	11819	43360
1071	11827	43338
1072	11836	43320
1073	11847	43310
1074	11856	43288
1075	11863	43263
1076	11870	43237
1077	11876	43210
1078	11884	43186
1079	11891	43160
1080	11898	43134
1081	11904	43108
1082	11912	43083
1083	11918	43057
1084	11925	43031
1085	11933	43007
1086	11941	42988
1087	11952	42976
1088	11959	42950
1089	11966	42924
1090	11973	42898
1091	11980	42873
1092	11986	42847
1093	11993	42822
1094	12000	42797
1095	12007	42771
1096	12014	42746
1097	12021	42722
1098	12029	42699
1099	12037	42677
1100	12044	42654
1101	12053	42635
1102	12062	42619
1103	12072	42602
1104	12080	42582
1105	12087	42559
1106	12095	42536
1107	12102	42511
1108	12112	42497
1109	12119	42472
1110	12127	42453
1111	12136	42432
1112	12144	42412
1113	12151	42390
1114	12159	42367
1115	12166	42344
1116	12174	42321
1117	12181	42298
1118	12188	42274
1119	12196	42252
1120	12204	42229
1121	12212	42210
1122	12224	42204
1123	12233	42186
1124	12244	42175
1125	12253	42157
1126	12262	42140
1127	12271	42125
1128	12284	42118
1129	12297	42115
1130	12309	42109
1131	12321	42101
1132	12332	42090
1133	12341	42073
1134	12348	42049
1135	12355	42026
1136	12362	42002
1137	12370	41980
1138	12377	41956
1139	12385	41935
1140	12392	41911
1141	12399	41888
1142	12406	41865
1143	12413	41841
1144	12421	41821
1145	12430	41802
1146	12437	41781
1147	12444	41757
1148	12452	41736
1149	12459	41712
1150	12466	41689
1151	12473	41665
1152	12480	41642
1153	12488	41621
1154	12495	41598
1155	12502	41575
1156	12509	41551
1157	12519	41538
1158	12530	41525
1159	12540	41511
1160	12547	41489
1161	12554	41467
1162	12561	41444
1163	12569	41422
1164	12576	41399
1165	12583	41377
1166	12590	41354
1167	12599	41335
1168	12607	41317
1169	12616	41299
1170	12624	41281
1171	12632	41260
1172	12639	41238
1173	12647	41216
1174	12654	41193
1175	12661	41170
1176	12669	41150
1177	12676	41128
1178	12683	41106
1179	12690	41083
1180	12697	41060
1181	12704	41037
1182	12711	41015
1183	12719	40995
1184	12727	40973
1185	12734	40953
1186	12744	40938
1187	12754	40924
1188	12763	40909
1189	12770	40887
1190	12777	40865
1191	12785	40843
1192	12792	40821
1193	12799	40799
1194	12806	40777
1195	12813	40755
1196	12821	40735
1197	12829	40715
1198	12836	40693
1199	12843	40672
1200	12851	40650
1201	12858	40628
1202	12865	40606
1203	12872	40584
1204	12880	40564
1205	12888	40545
1206	12895	40523
1207	12902	40501
1208	12910	40482
1209	12918	40464
1210	12928	40451
1211	12935	40429
1212	12943	40408
1213	12950	40386
1214	12957	40364
1215	12966	40351
1216	12976	40335
1217	12984	40318
1218	12992	40298
1219	12999	40277
1220	13007	40257
1221	13015	40239
1222	13023	40220
1223	13030	40199
1224	13037	40177
1225	13044	40155
1226	13052	40134
1227	13059	40115
1228	13067	40094
1229	13074	40073
1230	13081	40053
1231	13091	40039
1232	13098	40018
1233	13106	40000
1234	13115	39983
1235	13123	39964
1236	13130	39944
1237	13138	39924
1238	13145	39903
1239	13152	39882
1240	13159	39861
1241	13167	39840
1242	13175	39822
1243	13182	39801
1244	13191	39787
1245	13201	39774
1246	13212	39763
1247	13220	39745
1248	13227	39724
1249	13234	39703
1250	13242	39683
1251	13249	39663
1252	13256	39642
1253	13263	39622
1254	13271	39601
1255	13278	39581
1256	13289	39571
1257	13296	39551
1258	13303	39530
1259	13312	39514
1260	13320	39496
1261	13328	39478
1262	13338	39465
1263	13346	39447
1264	13356	39437
1265	13366	39424
1266	13375	39407
1267	13383	39390
1268	13391	39372
1269	13399	39355
1270	13408	39340
1271	13419	39329
1272	13431	39323
1273	13441	39311
1274	13449	39294
1275	13457	39276
1276	13465	39258
1277	13473	39239
1278	13481	39221
1279	13489	39203
1280	13497	39186
1281	13506	39172
1282	13515	39156
1283	13523	39137
1284	13530	39118
1285	13538	39098
1286	13545	39079
1287	13552	39058
1288	13560	39039
1289	13567	39019
1290	13574	38999
1291	13583	38985
1292	13590	38964
1293	13599	38947
1294	13607	38931
1295	13615	38914
1296	13623	38895
1297	13630	38875
1298	13638	38856
1299	13647	38843
1300	13657	38830
